Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer,Associate,Board Member,Consultant,Director,Intern,Manager,Owner,Partner,President,Principal,Vice President
Lawyers - Brainstorm with Peers,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Meet Interesting People,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
Lawyers - Start a Company,0.4,0.2,0.2,0.4,0.4,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
Lawyers - Build a team,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Find a job,0.3,0.1,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Find investment opportunities,0.3,0.1,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.3,0.1,0.3,0.3,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Build investor relations,0.3,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Advise & Mentor,0.4,0.1,0.2,0.5,0.5,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Learn from industry experts,0.4,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Lawyers - Build business relationships,0.3,0.2,0.1,0.4,0.4,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.1,0.2,0.1,0.1,0.2,0.2,0.2,,,,,,,,,,,
Lawyers - Explore shared interests,0.3,0.2,0.2,0.4,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
Founders - Brainstorm with Peers,0.2,0.2,0.9,0.3,0.7,0.9,0.2,0.7,0.9,0.3,0.9,0.5,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,,,,,,,,,,,
Founders - Meet Interesting People,0.2,0.2,0.9,0.3,0.7,0.9,0.2,0.7,0.9,0.3,0.9,0.6,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.3,0.2,0.3,,,,,,,,,,,
Founders - Start a Company,0.3,0.3,0.7,0.3,0.6,0.8,0.3,0.6,0.8,0.4,0.8,0.4,0.3,0.3,0.3,0.4,0.2,0.1,0.3,0.3,0.1,0.3,0.3,0.3,0.3,0.4,0.6,0.4,0.2,0.2,,,,,,,,,,,
Founders - Build a team,0.2,0.2,0.7,0.3,0.7,0.8,0.2,0.7,0.8,0.3,0.9,0.4,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.7,0.3,0.2,0.1,,,,,,,,,,,
Founders - Find a job,0.2,0.2,0.8,0.2,0.7,0.9,0.2,0.7,0.9,0.2,0.9,0.7,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.2,,,,,,,,,,,
Founders - Find investment opportunities,0.1,0.2,0.9,0.1,0.8,0.9,0.1,0.8,0.9,0.2,0.9,0.6,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7,0.2,0.2,0.1,,,,,,,,,,,
Founders - Build investor relations,0.1,0.1,0.7,0.1,0.7,0.7,0.1,0.7,0.7,0.1,0.7,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,,,,,,,,,,
Founders - Advise & Mentor,0.2,0.2,0.9,0.3,0.7,0.9,0.2,0.7,0.9,0.3,0.9,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.7,0.3,0.2,0.2,,,,,,,,,,,
Founders - Learn from industry experts,0.2,0.2,0.8,0.3,0.8,0.9,0.2,0.8,0.9,0.3,0.8,0.7,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,,,,,,,,,,,
Founders - Build business relationships,0.2,0.2,0.8,0.3,0.7,0.9,0.2,0.7,0.9,0.3,0.9,0.6,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.2,,,,,,,,,,,
Founders - Explore shared interests,0.2,0.2,0.9,0.3,0.8,0.9,0.2,0.8,0.9,0.3,0.9,0.6,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.6,0.3,0.2,0.2,,,,,,,,,,,
Investors - Brainstorm with Peers,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Investors - Meet Interesting People,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,,,,,,,,,,,
Investors - Start a Company,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
Investors - Build a team,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Investors - Find a job,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Investors - Find investment opportunities,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,,,,,,,,,,,
Investors - Build investor relations,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Investors - Advise & Mentor,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,,,,,,,,,,,
Investors - Learn from industry experts,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,,,,,,,,,,,
Investors - Build business relationships,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,,,,,,,,,,,
Investors - Explore shared interests,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.9,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,,,,,,,,,,,
Financial Advisors - Brainstorm with Peers,0.9,0.1,0.1,0.9,0.9,0.1,0.9,0.1,0.1,0.1,0.1,0.3,0.9,0.9,0.9,0.1,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Meet Interesting People,0.9,0.2,0.2,0.9,0.9,0.2,0.9,0.2,0.2,0.2,0.2,0.5,0.9,0.9,0.9,0.2,0.2,0.1,0.5,0.5,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,,,,,,,,,,,
Financial Advisors - Start a Company,0.9,0.2,0.2,0.9,0.9,0.2,0.9,0.2,0.2,0.2,0.2,0.4,0.9,0.9,0.9,0.2,0.2,0.1,0.4,0.4,0.1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,,,,,,,,,,,
Financial Advisors - Build a team,0.8,0.1,0.1,0.8,0.8,0.1,0.8,0.1,0.1,0.1,0.1,0.2,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Find a job,0.8,0.1,0.1,0.8,0.9,0.1,0.8,0.1,0.1,0.1,0.1,0.6,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Find investment opportunities,0.8,0.1,0.5,0.8,0.8,0.3,0.8,0.5,0.2,0.1,0.5,0.3,0.8,0.8,0.8,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Build investor relations,0.5,0.1,0.1,0.8,0.8,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.8,0.8,0.8,0.1,0.1,0.1,0.6,0.6,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Advise & Mentor,0.7,0.1,0.2,0.8,0.7,0.2,0.7,0.2,0.2,0.1,0.2,0.4,0.8,0.8,0.8,0.1,0.1,0.1,0.4,0.4,0.1,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Learn from industry experts,0.8,0.1,0.1,0.9,0.9,0.1,0.7,0.1,0.1,0.1,0.1,0.2,0.9,0.9,0.9,0.1,0.1,0.1,0.3,0.3,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
Financial Advisors - Build business relationships,0.8,0.2,0.1,0.9,0.9,0.1,0.8,0.1,0.1,0.2,0.1,0.3,0.9,0.9,0.9,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,,,,,,,,,,,
Financial Advisors - Explore shared interests,0.8,0.2,0.1,0.9,0.9,0.1,0.8,0.1,0.1,0.2,0.1,0.4,0.9,0.9,0.9,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,,,,,,,,,,,
Technical Experts - Brainstorm with Peers,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Meet Interesting People,0.2,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.9,0.1,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.4,0.1,0.8,0.2,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Start a Company,0.2,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.9,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.9,0.2,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Build a team,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.9,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Find a job,0.1,0.1,0.2,0.1,0.1,0.4,0.1,0.1,0.9,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.7,0.2,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Find investment opportunities,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.1,0.9,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.7,0.2,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Build investor relations,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.8,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Advise & Mentor,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.8,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Learn from industry experts,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0.2,0.9,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Build business relationships,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.9,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.9,0.1,0.1,0.1,0.1,,,,,,,,,,,
Technical Experts - Explore shared interests,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.9,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.9,0.2,0.1,0.1,0.1,,,,,,,,,,,
Marketing Experts - Brainstorm with Peers,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.1,0.9,0.1,0.1,0.3,0.6,0.5,,,,,,,,,,,
Marketing Experts - Meet Interesting People,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.3,0.2,0.2,0.2,0.5,0.7,0.3,0.2,0.2,0.5,0.2,0.9,0.3,0.9,0.2,0.2,0.3,0.5,0.6,,,,,,,,,,,
Marketing Experts - Start a Company,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.4,0.2,0.2,0.5,0.2,0.9,0.2,0.9,0.2,0.2,0.5,0.7,0.4,,,,,,,,,,,
Marketing Experts - Build a team,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.5,0.8,0.3,0.1,0.1,0.4,0.1,0.7,0.1,0.8,0.1,0.1,0.6,0.6,0.6,,,,,,,,,,,
Marketing Experts - Find a job,0.1,0.8,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.4,0.7,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.7,0.2,0.2,0.2,0.5,0.4,,,,,,,,,,,
Marketing Experts - Find investment opportunities,0.1,0.9,0.3,0.1,0.1,0.3,0.1,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.4,0.5,0.1,0.1,0.1,0.3,0.1,0.9,0.1,0.9,0.2,0.2,0.3,0.6,0.2,,,,,,,,,,,
Marketing Experts - Build investor relations,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.2,0.2,,,,,,,,,,,
Marketing Experts - Advise & Mentor,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4,,,,,,,,,,,
Marketing Experts - Learn from industry experts,0.1,0.9,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.4,0.1,0.3,0.2,0.2,0.2,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.3,0.9,0.1,0.1,0.3,0.4,0.3,,,,,,,,,,,
Marketing Experts - Build business relationships,0.2,0.9,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.4,0.7,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0.9,0.1,0.1,0.2,0.6,0.4,,,,,,,,,,,
Marketing Experts - Explore shared interests,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.3,0.2,0.2,0.3,0.2,0.9,0.2,0.8,0.2,0.2,0.2,0.5,0.6,,,,,,,,,,,
Advisor/consultant - Brainstorm with Peers,0.6,0.3,0.1,0.8,0.6,0.1,0.6,0.6,0.1,0.3,0.1,0.5,0.8,0.9,0.9,0.3,0.2,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.3,0.1,0.1,0.2,0.2,0.2,,,,,,,,,,,
Advisor/consultant - Meet Interesting People,0.7,0.4,0.2,0.8,0.7,0.2,0.7,0.7,0.2,0.4,0.2,0.6,0.8,0.9,0.9,0.4,0.3,0.1,0.4,0.4,0.3,0.5,0.4,0.3,0.4,0.2,0.2,0.3,0.3,0.2,,,,,,,,,,,
Advisor/consultant - Start a Company,0.9,0.5,0.2,0.9,0.7,0.2,0.9,0.7,0.2,0.5,0.2,0.6,0.9,0.9,0.9,0.5,0.4,0.1,0.5,0.5,0.2,0.4,0.6,0.2,0.5,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,
Advisor/consultant - Build a team,0.6,0.4,0.1,0.7,0.6,0.1,0.6,0.6,0.1,0.4,0.1,0.4,0.7,0.8,0.8,0.4,0.4,0.1,0.4,0.4,0.2,0.3,0.4,0.2,0.4,0.1,0.1,0.3,0.3,0.1,,,,,,,,,,,
Advisor/consultant - Find a job,0.6,0.3,0.2,0.6,0.6,0.2,0.6,0.6,0.2,0.3,0.2,0.6,0.6,0.6,0.6,0.3,0.2,0.1,0.3,0.3,0.1,0.4,0.4,0.1,0.3,0.2,0.2,0.3,0.3,0.2,,,,,,,,,,,
Advisor/consultant - Find investment opportunities,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.1,0.3,0.3,0.1,0.3,0.4,0.1,0.3,0.1,0.2,0.3,0.3,0.2,,,,,,,,,,,
